# ITO - d=165.00nm, RMS=0.089128
# λ(nm)  T_exp  T_calc  Residual
6.880000e+02 8.699000e-01 1.002279e+00 1.323790e-01
6.890000e+02 8.694000e-01 1.002316e+00 1.329163e-01
6.900000e+02 8.690000e-01 1.002339e+00 1.333388e-01
6.910000e+02 8.686000e-01 1.002346e+00 1.337463e-01
6.920000e+02 8.681000e-01 1.002339e+00 1.342388e-01
6.930000e+02 8.677000e-01 1.002316e+00 1.346160e-01
6.940000e+02 8.672000e-01 1.002278e+00 1.350779e-01
6.950000e+02 8.667000e-01 1.002224e+00 1.355244e-01
6.960000e+02 8.663000e-01 1.002155e+00 1.358553e-01
6.970000e+02 8.658000e-01 1.002071e+00 1.362706e-01
6.980000e+02 8.654000e-01 1.001970e+00 1.365701e-01
6.990000e+02 8.650000e-01 1.001854e+00 1.368538e-01
7.000000e+02 8.645000e-01 1.001721e+00 1.372215e-01
7.010000e+02 8.641000e-01 1.001580e+00 1.374799e-01
7.020000e+02 8.637000e-01 1.001435e+00 1.377354e-01
7.030000e+02 8.633000e-01 1.001288e+00 1.379877e-01
7.040000e+02 8.629000e-01 1.001137e+00 1.382366e-01
7.050000e+02 8.625000e-01 1.000982e+00 1.384817e-01
7.060000e+02 8.620000e-01 1.000823e+00 1.388226e-01
7.070000e+02 8.616000e-01 1.000659e+00 1.390592e-01
7.080000e+02 8.611000e-01 1.000491e+00 1.393910e-01
7.090000e+02 8.607000e-01 1.000318e+00 1.396179e-01
7.100000e+02 8.603000e-01 1.000139e+00 1.398394e-01
7.110000e+02 8.599000e-01 9.999553e-01 1.400553e-01
7.120000e+02 8.595000e-01 9.997654e-01 1.402654e-01
7.130000e+02 8.591000e-01 9.995694e-01 1.404694e-01
7.140000e+02 8.586000e-01 9.993669e-01 1.407669e-01
7.150000e+02 8.582000e-01 9.991577e-01 1.409577e-01
7.160000e+02 8.578000e-01 9.989415e-01 1.411415e-01
7.170000e+02 8.574000e-01 9.987181e-01 1.413181e-01
7.180000e+02 8.570000e-01 9.984872e-01 1.414872e-01
7.190000e+02 8.566000e-01 9.982486e-01 1.416486e-01
7.200000e+02 8.562000e-01 9.980019e-01 1.418019e-01
7.210000e+02 8.558000e-01 9.977470e-01 1.419470e-01
7.220000e+02 8.554000e-01 9.974835e-01 1.420835e-01
7.230000e+02 8.550000e-01 9.972113e-01 1.422113e-01
7.240000e+02 8.546000e-01 9.969300e-01 1.423300e-01
7.250000e+02 8.542000e-01 9.966396e-01 1.424396e-01
7.260000e+02 8.538000e-01 9.963396e-01 1.425396e-01
7.270000e+02 8.534000e-01 9.960299e-01 1.426299e-01
7.280000e+02 8.530000e-01 9.957103e-01 1.427103e-01
7.290000e+02 8.526000e-01 9.953805e-01 1.427805e-01
7.300000e+02 8.521000e-01 9.950403e-01 1.429403e-01
7.310000e+02 8.517000e-01 9.946896e-01 1.429896e-01
7.320000e+02 8.513000e-01 9.943279e-01 1.430279e-01
7.330000e+02 8.509000e-01 9.939553e-01 1.430553e-01
7.340000e+02 8.504000e-01 9.935714e-01 1.431714e-01
7.350000e+02 8.501000e-01 9.931760e-01 1.430760e-01
7.360000e+02 8.497000e-01 9.927690e-01 1.430690e-01
7.370000e+02 8.493000e-01 9.923501e-01 1.430501e-01
7.380000e+02 8.489000e-01 9.919192e-01 1.430192e-01
7.390000e+02 8.485000e-01 9.914760e-01 1.429760e-01
7.400000e+02 8.482000e-01 9.910204e-01 1.428204e-01
7.410000e+02 8.478000e-01 9.905521e-01 1.427521e-01
7.420000e+02 8.475000e-01 9.900710e-01 1.425710e-01
7.430000e+02 8.471000e-01 9.895769e-01 1.424769e-01
7.440000e+02 8.467000e-01 9.890697e-01 1.423697e-01
7.450000e+02 8.464000e-01 9.885491e-01 1.421491e-01
7.460000e+02 8.460000e-01 9.880149e-01 1.420149e-01
7.470000e+02 8.457000e-01 9.874671e-01 1.417671e-01
7.480000e+02 8.453000e-01 9.869054e-01 1.416054e-01
7.490000e+02 8.450000e-01 9.863296e-01 1.413296e-01
7.500000e+02 8.447000e-01 9.857397e-01 1.410397e-01
7.510000e+02 8.443000e-01 9.851421e-01 1.408421e-01
7.520000e+02 8.440000e-01 9.845436e-01 1.405436e-01
7.530000e+02 8.436000e-01 9.839441e-01 1.403441e-01
7.540000e+02 8.433000e-01 9.833438e-01 1.400438e-01
7.550000e+02 8.430000e-01 9.827427e-01 1.397427e-01
7.560000e+02 8.427000e-01 9.821409e-01 1.394409e-01
7.570000e+02 8.424000e-01 9.815384e-01 1.391384e-01
7.580000e+02 8.420000e-01 9.809352e-01 1.389352e-01
7.590000e+02 8.417000e-01 9.803315e-01 1.386315e-01
7.600000e+02 8.414000e-01 9.797273e-01 1.383273e-01
7.610000e+02 8.411000e-01 9.791226e-01 1.380226e-01
7.620000e+02 8.408000e-01 9.785175e-01 1.377175e-01
7.630000e+02 8.405000e-01 9.779120e-01 1.374120e-01
7.640000e+02 8.402000e-01 9.773062e-01 1.371062e-01
7.650000e+02 8.398000e-01 9.767002e-01 1.369002e-01
7.660000e+02 8.395000e-01 9.760939e-01 1.365939e-01
7.670000e+02 8.392000e-01 9.754874e-01 1.362874e-01
7.680000e+02 8.389000e-01 9.748809e-01 1.359809e-01
7.690000e+02 8.387000e-01 9.742742e-01 1.355742e-01
7.700000e+02 8.384000e-01 9.736675e-01 1.352675e-01
7.710000e+02 8.382000e-01 9.730608e-01 1.348608e-01
7.720000e+02 8.379000e-01 9.724542e-01 1.345542e-01
7.730000e+02 8.376000e-01 9.718476e-01 1.342476e-01
7.740000e+02 8.372000e-01 9.712412e-01 1.340412e-01
7.750000e+02 8.369000e-01 9.706350e-01 1.337350e-01
