ESTIMATED THICKNESSES NOBS=195
Thickness of film 1 = 170.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 850.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
4.03092783505154613977e+02 8.12107632308101567986e-01
4.06185567010309284797e+02 8.06911301139796255377e-01
4.09278350515463898773e+02 8.02052847368656784965e-01
4.12371134020618569593e+02 7.97543539531526679554e-01
4.15463917525773183570e+02 7.93390767084641179707e-01
4.18556701030927854390e+02 7.89598572688952060616e-01
4.21649484536082468367e+02 7.86168132973822042509e-01
4.24742268041237139187e+02 7.83098187973412573903e-01
4.27835051546391753163e+02 7.80385421054151207088e-01
4.30927835051546367140e+02 7.78024792225400441126e-01
4.34020618556701037960e+02 7.76009828374393695327e-01
4.37113402061855651937e+02 7.74332874296551953996e-01
4.40206185567010322757e+02 7.72985308490072076104e-01
4.43298969072164936733e+02 7.71957727618264866187e-01
4.46391752577319607553e+02 7.71240103368248108850e-01
4.49484536082474221530e+02 7.70821915191177264859e-01
4.52577319587628892350e+02 7.70692262127504967850e-01
4.55670103092783506327e+02 7.70839956622782596085e-01
4.58762886597938177147e+02 7.71253602940632720930e-01
4.61855670103092791123e+02 7.71921662490041127214e-01
4.64948453608247405100e+02 7.72832508110680160840e-01
4.68041237113402075920e+02 7.73974469106370688287e-01
4.71134020618556689897e+02 7.75335868584823839633e-01
4.74226804123711360717e+02 7.76905054451967669316e-01
4.77319587628865974693e+02 7.78670425220946871292e-01
4.80412371134020645513e+02 7.80620451628136646782e-01
4.83505154639175259490e+02 7.82743694899948549981e-01
4.86597938144329873467e+02 7.85028822383049385003e-01
4.89690721649484544287e+02 7.87464621135352094150e-01
4.92783505154639158263e+02 7.90040009974035339901e-01
4.95876288659793829083e+02 7.92744050388474508217e-01
4.98969072164948443060e+02 7.95565956648780381322e-01
5.02061855670103113880e+02 7.98495105373464353349e-01
5.05154639175257727857e+02 8.01521044761334566786e-01
5.08247422680412341833e+02 8.04633503642123715238e-01
5.11340206185567012653e+02 8.07822400456586042772e-01
5.14432989690721683473e+02 8.11077852239197483186e-01
5.17525773195876354293e+02 8.14390183644361553839e-01
5.20618556701030911427e+02 8.17749936029676938176e-01
5.23711340206185582247e+02 8.21147876586807101695e-01
5.26804123711340253067e+02 8.24575007491384015523e-01
5.29896907216494810200e+02 8.28022575027814400350e-01
5.32989690721649481020e+02 8.31482078632480692271e-01
5.36082474226804151840e+02 8.34945279789384486868e-01
5.39175257731958708973e+02 8.38404210705471553133e-01
5.42268041237113379793e+02 8.41851182688490351502e-01
5.45360824742268050613e+02 8.45278794148016321408e-01
5.48453608247422721433e+02 8.48679938140077028130e-01
5.51546391752577392253e+02 8.52047809377352027838e-01
5.54639175257731949387e+02 8.55375910630069458129e-01
5.57731958762886620207e+02 8.58658058447260952306e-01
5.60824742268041291027e+02 8.61888388133796756740e-01
5.63917525773195848160e+02 8.65061357925366980481e-01
5.67010309278350518980e+02 8.68171752311225009002e-01
5.70103092783505189800e+02 8.71214684462764288320e-01
5.73195876288659746933e+02 8.74185597734778219170e-01
5.76288659793814417753e+02 8.76524850562237944906e-01
5.79381443298969088573e+02 8.77852530302171585319e-01
5.82474226804123759393e+02 8.79100283469629095734e-01
5.85567010309278316527e+02 8.80266024704929650468e-01
5.88659793814432987347e+02 8.81347989584239988048e-01
5.91752577319587658167e+02 8.82344723853776824463e-01
5.94845360824742328987e+02 8.83255072136358343471e-01
5.97938144329896886120e+02 8.84078166167824974764e-01
6.01030927835051556940e+02 8.84813412623938089219e-01
6.04123711340206227760e+02 8.85460480600979593646e-01
6.07216494845360784893e+02 8.86019288812055161308e-01
6.10309278350515455713e+02 8.86489992568071816237e-01
6.13402061855670126533e+02 8.86872970603529875433e-01
6.16494845360824683667e+02 8.87168811812784730009e-01
6.19587628865979354487e+02 8.87378301958287041273e-01
6.22680412371134025307e+02 8.87502410410547337705e-01
6.25773195876288696127e+02 8.87542276976970634372e-01
6.28865979381443366947e+02 8.87499198873547445743e-01
6.31958762886597924080e+02 8.87374617889997052700e-01
6.35051546391752594900e+02 8.87170107795187234956e-01
6.38144329896907265720e+02 8.86887362025707948199e-01
6.41237113402061822853e+02 8.86528183184260298866e-01
6.44329896907216493673e+02 8.86094466923126988789e-01
6.47422680412371164493e+02 8.85588205080166113170e-01
6.50515463917525721627e+02 8.85011443562074395786e-01
6.53608247422680392447e+02 8.84366301857592129743e-01
6.56701030927835063267e+02 8.83654953077895322089e-01
6.59793814432989620400e+02 8.82879614478023655444e-01
6.62886597938144404907e+02 8.82042538455499625094e-01
6.65979381443298962040e+02 8.81146004032963281460e-01
6.69072164948453632860e+02 8.80192525306173756405e-01
6.72164948453608303680e+02 8.79184191029777295512e-01
6.75257731958762860813e+02 8.78124436581143585911e-01
6.78350515463917531633e+02 8.77014430984933923696e-01
6.81443298969072202453e+02 8.75856475538219214627e-01
6.84536082474226759587e+02 8.74652857259890170738e-01
6.87628865979381430407e+02 8.73405843702284356844e-01
6.90721649484536101227e+02 8.72117678202599888593e-01
6.93814432989690658360e+02 8.70790575559992729993e-01
6.96907216494845442867e+02 8.69426718123071373689e-01
7.00000000000000000000e+02 8.68035159334238581863e-01
7.03092783505154670820e+02 8.66610978668624132304e-01
7.06185567010309341640e+02 8.65156242100333927603e-01
7.09278350515463898773e+02 8.63672971435879066604e-01
7.12371134020618569593e+02 8.62186481987520902948e-01
7.15463917525773240413e+02 8.60674946687497666176e-01
